indeks	identyfikator sekwencji
0	HDID_contig0000006
1	HDID_scaffold0000029
2	HDID_scaffold0000030
3	HDID_scaffold0000031
4	HDID_scaffold0000032
5	HDID_scaffold0000033
6	HDID_contig0000007
7	HDID_scaffold0000034
8	HDID_scaffold0000035
9	HDID_scaffold0000036
10	HDID_scaffold0000037
11	HDID_scaffold0000038
12	HDID_scaffold0000039
13	HDID_scaffold0000040
14	HDID_scaffold0000041
15	HDID_scaffold0000042
16	HDID_contig0000008
17	HDID_scaffold0000043
18	HDID_contig0000009
19	HDID_contig0000010
20	HDID_contig0000011
21	HDID_contig0000012
22	HDID_scaffold0000044
23	HDID_scaffold0000045
24	HDID_scaffold0000046
25	HDID_contig0000013
26	HDID_scaffold0000047
27	HDID_scaffold0000048
28	HDID_scaffold0000049
29	HDID_scaffold0000050
30	HDID_scaffold0000051
31	HDID_scaffold0000052
32	HDID_scaffold0000053
33	HDID_scaffold0000054
34	HDID_scaffold0000055
35	HDID_scaffold0000056
36	HDID_scaffold0000057
37	HDID_scaffold0000058
38	HDID_scaffold0000059
39	HDID_scaffold0000060
40	HDID_contig0000014
41	HDID_scaffold0000061
42	HDID_scaffold0000062
43	HDID_contig0000015
44	HDID_scaffold0000063
45	HDID_contig0000016
46	HDID_scaffold0000064
47	HDID_scaffold0000065
48	HDID_scaffold0000066
49	HDID_scaffold0000067
50	HDID_contig0000017
51	HDID_scaffold0000068
52	HDID_scaffold0000069
53	HDID_contig0000018
54	HDID_scaffold0000070
55	HDID_contig0000019
56	HDID_scaffold0000071
57	HDID_contig0000020
58	HDID_scaffold0000072
59	HDID_scaffold0000073
60	HDID_contig0000021
61	HDID_contig0000022
62	HDID_scaffold0000074
63	HDID_contig0000023
64	HDID_contig0000024
65	HDID_scaffold0000075
66	HDID_scaffold0000076
67	HDID_scaffold0000077
68	HDID_scaffold0000078
69	HDID_contig0000025
70	HDID_scaffold0000079
71	HDID_scaffold0000080
72	HDID_scaffold0000081
73	HDID_contig0000026
74	HDID_scaffold0000082
75	HDID_scaffold0000083
76	HDID_contig0000027
77	HDID_scaffold0000084
78	HDID_contig0000028
79	HDID_contig0000029
80	HDID_scaffold0000085
81	HDID_contig0000030
82	HDID_scaffold0000086
83	HDID_contig0000031
84	HDID_scaffold0000087
85	HDID_scaffold0000088
86	HDID_scaffold0000089
87	HDID_scaffold0000090
88	HDID_contig0000032
89	HDID_scaffold0000091
90	HDID_scaffold0000092
91	HDID_scaffold0000093
92	HDID_scaffold0000094
93	HDID_scaffold0000095
94	HDID_scaffold0000096
95	HDID_contig0000033
96	HDID_contig0000034
97	HDID_scaffold0000097
98	HDID_scaffold0000098
99	HDID_contig0000035
100	HDID_scaffold0000099
101	HDID_contig0000036
102	HDID_scaffold0000100
103	HDID_contig0000037
104	HDID_contig0000038
105	HDID_contig0000039
106	HDID_contig0000040
107	HDID_scaffold0000101
108	HDID_scaffold0000102
109	HDID_scaffold0000103
110	HDID_scaffold0000104
111	HDID_contig0000041
112	HDID_scaffold0000105
113	HDID_contig0000042
114	HDID_contig0000043
115	HDID_scaffold0000106
116	HDID_scaffold0000107
117	HDID_scaffold0000108
118	HDID_scaffold0000109
119	HDID_scaffold0000110
120	HDID_scaffold0000111
121	HDID_scaffold0000112
122	HDID_scaffold0000113
123	HDID_scaffold0000114
124	HDID_scaffold0000115
125	HDID_contig0000044
126	HDID_scaffold0000116
127	HDID_scaffold0000117
128	HDID_scaffold0000118
129	HDID_contig0000045
130	HDID_contig0000046
131	HDID_scaffold0000119
132	HDID_scaffold0000120
133	HDID_scaffold0000121
134	HDID_scaffold0000122
135	HDID_contig0000047
136	HDID_scaffold0000123
137	HDID_scaffold0000124
138	HDID_scaffold0000125
139	HDID_contig0000048
140	HDID_scaffold0000126
141	HDID_scaffold0000127
142	HDID_scaffold0000128
143	HDID_contig0000049
144	HDID_scaffold0000129
145	HDID_contig0000050
146	HDID_scaffold0000130
147	HDID_scaffold0000131
148	HDID_contig0000051
149	HDID_scaffold0000132
