SampleName	MedianDepthNorm
NA06985	36.1603
NA06986	134.8148
NA07000	39.1667
NA07048	93.3333
NA07051	52.5000
NA07347	66.6667
NA07357	32.0000
NA10851	43.3333
NA11829	40.6772
NA11830	41.2500
NA11831	35.0000
NA11832	41.4815
NA11881	50.0000
NA11918	105.4167
NA11919	38.5185
NA11920	102.5000
NA11992	38.3333
NA11994	40.4167
NA11995	23.7500
NA12003	22.9630
NA12005	41.1111
NA12043	47.9167
NA12044	40.0000
NA12045	54.4444
NA12144	40.0000
NA12154	41.3333
NA12156	25.0000
NA12234	37.9327
NA12489	39.1667
NA12762	30.6111
NA12812	38.3333
NA12813	58.5276
NA12815	34.1667
NA12872	30.0000
NA12873	35.0000
NA12878	65.0000
NA18486	126.8519
NA18489	55.8333
NA18498	23.3333
NA18499	102.1761
NA18501	100.0000
NA18502	46.6667
NA18504	59.5833
NA18505	61.2500
NA18507	32.9167
NA18508	66.8786
NA18510	74.1667
NA18516	98.4481
NA18519	37.0602
NA18520	87.3704
NA18522	131.6667
NA18631	61.1111
NA18634	61.2500
NA18639	39.1638
NA18640	34.1667
NA18641	49.1667
NA18642	43.3333
NA18643	38.2262
NA18645	30.8333
NA18740	38.0474
NA18745	35.9259
NA18747	47.7477
NA18748	40.6667
NA18749	49.1667
NA18757	37.7778
NA18853	115.0000
NA18856	60.0000
NA18867	107.5000
NA18868	75.8333
NA18870	101.9583
NA18871	50.7407
NA18873	105.8114
NA18874	35.4838
NA18910	96.0978
NA18912	135.8333
NA18953	105.8333
NA18956	52.5000
NA18959	119.1667
NA18960	92.0833
NA18961	89.2417
NA18964	131.2500
NA18965	35.6039
NA18978	42.5000
NA18980	65.8333
NA18997	32.5926
NA18998	44.1667
NA18999	127.5500
NA19000	122.5463
NA19003	90.0000
NA19005	38.3333
NA19007	117.3333
NA19012	126.6667
NA19092	82.5000
NA19093	98.0699
NA19099	60.4817
NA19102	103.3333
NA19116	94.1667
NA19130	119.0381
NA19172	117.5274
