Assembly	contigs
# contigs (>= 0 bp)	183
# contigs (>= 1000 bp)	40
# contigs (>= 5000 bp)	31
# contigs (>= 10000 bp)	30
# contigs (>= 25000 bp)	25
# contigs (>= 50000 bp)	22
Total length (>= 0 bp)	3267691
Total length (>= 1000 bp)	3242762
Total length (>= 5000 bp)	3214688
Total length (>= 10000 bp)	3207537
Total length (>= 25000 bp)	3140405
Total length (>= 50000 bp)	3022596
# contigs	45
Largest contig	355732
Total length	3245900
GC (%)	30.46
N50	153901
N90	65492
auN	172479.4
L50	8
L90	21
# N's per 100 kbp	218.83
